Year,State,Shopping expenditure,Purchase of automotive fuel expenditure,Transportation expenditure,Food & beverage expenditure,Accomodation expenditure,Entrance ticket expenditure,Other expenditure,Visited household expediture,Tourism receipts (RM),Domestic visitor,Tourism trip,Average receipts per capita (RM),Average receipts per trip (RM),Average length of stay (day),Household,Income mean (RM),Income median (RM),Expenditure mean (RM),Expenditure burden (%),Inflation (%),Receipts per visitor (RM),Receipts per household (RM)
2024,Negeri Sembilan,1955548,778045,363511,1008167,539424,398565,208574,617628,5869000000,17785000,21817000,330,269,2.25,353200,7305,5591,5115,91.49,1.24,330.00,16616.65
2025,Negeri Sembilan,2166545,936212,417566,1151803,567601,427983,226551,635001,6529000000,19357000,24064000,337,271,2.29,,,,,,1.68,337.29,
2018,Pahang,2144273,1242545,242101,1118073,964111,302759,608869,782103,7405000000,18111000,21896000,409,338,2.46,365800,,,,,0.61,408.87,20243.30
2019,Pahang,2181351,1288780,246049,1180779,943957,313209,636226,810395,7601000000,18498000,22745000,411,334,2.49,371300,5667,4440,,,0.26,410.91,20471.32
2020,Pahang,1210223,268647,109351,523785,289699,47332,170896,128118,2748000000,9905000,10380000,277,265,1.93,401534,5144,4033,,,-1.18,277.44,6843.75
2021,Pahang,390948,111867,33581,115364,86278,61853,49734,64755,914000000,3405000,3505000,269,261,1.92,411500,,,,,2.95,268.43,2221.14
2022,Pahang,1557675,752635,341894,833970,746482,323359,316119,444654,5317000000,13189000,14994000,403,355,2.11,421700,5777,4753,4107,86.41,2.98,403.14,12608.49
2023,Pahang,1943890,949299,384026,989218,1000261,366394,379835,720421,6733000000,16456000,17633000,409,382,2.13,432000,,,,,2.67,409.15,15585.65
2024,Pahang,2610346,1214356,523225,1280688,1202614,432981,494471,951079,8710000000,20174000,22665000,432,384,2.17,442400,6066,4975,4368,87.80,2.43,431.74,19688.07
2025,Pahang,2965383,1404852,608291,1444247,1312310,498537,567159,1045990,9847000000,23161000,25285000,425,389,2.21,,,,,,1.19,425.15,
2018,Penang,2657555,812892,285292,728573,697031,163147,383116,436969,6165000000,14450000,19370000,427,318,2.51,480200,,,,,0.92,426.64,12838.40
2019,Penang,2923799,920030,334307,792376,662528,171343,383627,465647,6654000000,15411000,21074000,432,316,2.50,489700,7774,6169,4630,75.05,1.08,431.77,13587.91
2020,Penang,1273380,226317,140321,447314,148527,28486,81709,81105,2427000000,8390000,9231000,272,263,2.03,495347,6850,5474,,,-0.87,289.27,4899.60
2021,Penang,682853,138221,46438,147688,78022,18188,9882,37518,1159000000,5061000,5160000,229,225,2.14,507600,,,,,2.15,229.01,2283.29
2022,Penang,1283191,456936,189044,596624,476692,192901,226473,226538,3648000000,10003000,11706000,365,312,2.59,519900,8267,6502,5322,81.85,3.21,364.69,7016.73
2023,Penang,2431318,599680,355326,983682,714831,242333,249697,237869,5815000000,13128000,15351000,443,379,2.40,532400,,,,,2.62,442.95,10922.24
2024,Penang,3025861,821441,431434,1227183,961938,327800,306181,322454,7424000000,16605000,19160000,447,387,2.58,545100,9152,7386,5850,79.20,2.97,447.09,13619.52
2025,Penang,3423333,1019165,512166,1378621,1079517,368571,347860,361126,8490000000,17718000,21627000,479,393,2.65,,,,,,1.15,479.17,
2018,Perak,1659174,1204106,402987,979407,538672,235927,367223,1081008,6469000000,17553000,23651000,369,273,1.85,656600,,,,,0.68,368.54,9852.27
2019,Perak,1882349,1505026,522291,1343108,702420,267953,395831,1205078,7824000000,21071000,28471000,371,275,2.21,665800,5645,4273,,,0.6,371.32,11751.28
2020,Perak,1472214,441344,214906,757799,193768,33484,43720,159835,3317000000,13173000,14046000,252,236,1.85,672855,5081,3759,,,-1.28,251.80,4929.74
2021,Perak,490442,163204,54032,170394,87567,49089,53236,91567,1160000000,4489000,4674000,258,248,2.29,684000,,,,,2.68,258.41,1695.91
